timestamp,module index,wheel velocity,module angle,x_hat azimuth,x_hat azimuth velocity,x_hat wheel velocity,observer x_hat azimuth,observer x_hat azimuth velocity,observer x_hat wheel velocity,error azimuth,error azimuth velocity,error wheel velocity,next reference azimuth,next reference azimuth velocity,next reference wheel velocity,reference azimuth,reference azimuth velocity,reference wheel velocity,lo next voltage,hi next voltage
1636826990.0651386,0,0.0,0.5108783251359119,-0.9404122787559878,-3.363265341976611,-1.7448468719874213,-0.9404122787559878,-3.363265341976611,-1.7448468719874213,0.9404122787559878,3.363265341976611,1.7448468719874213,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999999,0.29568535679263364
1636826990.087662,0,0.0,0.5108783251359119,-0.9421006673934585,-3.831534854833536,0.2735341030237195,-0.9421006673934585,-3.831534854833536,0.2735341030237195,0.9421006673934585,3.831534854833536,-0.2735341030237195,0.0,-3.363265341976611,11.248593925759279,0.0,-3.363265341976611,11.248593925759279,-1.0,0.628977092350086
1636826990.1056545,0,0.0,0.5108783251359119,-0.9540644196740888,-3.8541599077062667,-0.10330661973576838,-0.9540644196740888,-3.8541599077062667,-0.10330661973576838,0.9540644196740888,3.8541599077062667,0.10330661973576838,0.0,-3.831534854833536,11.248593925759279,0.0,-3.831534854833536,11.248593925759279,-1.0,0.6207650682945541
1636826990.1226788,0,0.0,0.5108783251359119,-0.9636777667301224,-3.823417707716425,-0.09173383035851668,-0.9636777667301224,-3.823417707716425,-0.09173383035851668,0.9636777667301224,3.823417707716425,0.09173383035851668,0.0,-3.8541599077062667,11.248593925759279,0.0,-3.8541599077062667,11.248593925759279,-1.0,0.6136919279161152
1636826990.1419055,0,-0.01297417514576083,0.48786861331762754,-0.9734163736026864,-3.7896203058501667,-0.0699339056888344,-0.9734163736026864,-3.7896203058501667,-0.0699339056888344,0.9734163736026864,3.7896203058501667,0.0699339056888344,0.0,-3.823417707716425,11.248593925759279,0.0,-3.823417707716425,11.248593925759279,-1.0,0.6415203066153495
1636826990.1623263,0,-0.021895104333575936,0.41730549707488773,-0.9858308178611963,-3.834018675369413,0.27019478851975975,-0.9858308178611963,-3.834018675369413,0.27019478851975975,0.9858308178611963,3.834018675369413,-0.27019478851975975,0.0,-3.7896203058501667,11.248593925759279,0.0,-3.7896203058501667,11.248593925759279,-1.0,0.7130831053105476
1636826990.1848867,0,-0.02801285407383981,0.3574802463473481,-1.0031609532969508,-3.914591919751904,0.5425399427420827,-1.0031609532969508,-3.914591919751904,0.5425399427420827,1.0031609532969508,3.914591919751904,-0.5425399427420827,0.0,-3.834018675369413,11.248593925759279,0.0,-3.834018675369413,11.248593925759279,-1.0,0.7847159777253542
1636826990.2031796,0,-0.03320252413214412,0.29151907246826525,-1.0254084610073455,-4.013266571035649,0.9039757964527495,-1.0254084610073455,-4.013266571035649,0.9039757964527495,1.0254084610073455,4.013266571035649,-0.9039757964527495,0.0,-3.914591919751904,11.248593925759279,0.0,-3.914591919751904,11.248593925759279,-1.0,0.8701954416342078
1636826990.2420099,0,-0.020190468183038025,0.1457908976191291,-1.083983568086759,-4.068371687460375,1.635702467215034,-1.083983568086759,-4.068371687460375,1.635702467215034,1.083983568086759,4.068371687460375,-1.635702467215034,0.0,-4.130517326429854,11.248593925759279,0.0,-4.130517326429854,11.248593925759279,-0.9417559491302339,1.0
1636826990.2619712,0,-0.004829802426524131,0.12891710895238706,-1.1138620272671718,-4.026421706938587,1.94824498658008,-1.1138620272671718,-4.026421706938587,1.94824498658008,1.1138620272671718,4.026421706938587,-1.94824498658008,0.0,-4.068371687460375,11.248593925759279,0.0,-4.068371687460375,11.248593925759279,-0.8868879072405761,1.0
